BED,BED_NAME
115,Santa Rosa Island (NW)
102,San Clemente Island (W)
103,San Clemente Island (N)
104,San Clemente Island (E)
107A,San Nicolas Island
105,Santa Catalina Island
106,Santa Barbara Island
109,Anacapa Island
110,Santa Cruz Island (N)
111,Santa Cruz Island (W)
112,Santa Cruz Island (N)
113,Santa Rosa Island (SE)
116,Santa Rosa Island (NE)
102, 
103, 
104, 
105, 
106, 
109, 
110, 
111, 
112, 
113,Rosario Bay
115,Punta San Carlos
101 A,W. Coronado Islands
101 C,Potpola
116, 
107A,San Nicolas Island ( Sand Spit)
101 A,W Coronado Islands
101 C,Popotla
